,ViolentCrimesPerPop
0,Medium Crime
1,Very High Crime
2,Very High Crime
3,Medium Crime
4,Very Low Crime
5,Medium Crime
6,Very Low Crime
7,Very High Crime
8,Very High Crime
9,Medium Crime
10,High Crime
11,Low Crime
12,Very Low Crime
13,Low Crime
14,Medium Crime
15,High Crime
16,Very High Crime
17,Low Crime
18,Medium Crime
19,Very Low Crime
20,High Crime
21,Very High Crime
22,Medium Crime
23,Very High Crime
24,High Crime
25,Medium Crime
26,Very High Crime
27,Low Crime
28,Very High Crime
29,Very Low Crime
30,Medium Crime
31,Medium Crime
32,Medium Crime
33,High Crime
34,Low Crime
35,High Crime
36,Low Crime
37,High Crime
38,Medium Crime
39,Low Crime
40,Low Crime
41,Very Low Crime
42,Very High Crime
43,High Crime
44,Medium Crime
45,Medium Crime
46,Medium Crime
47,Medium Crime
48,Low Crime
49,Medium Crime
50,Medium Crime
51,Very High Crime
52,High Crime
53,Very Low Crime
54,Low Crime
55,High Crime
56,High Crime
57,High Crime
58,Very High Crime
59,Very Low Crime
60,Very Low Crime
61,Low Crime
62,Low Crime
63,Very High Crime
64,High Crime
65,Medium Crime
66,Very High Crime
67,Very Low Crime
68,Very High Crime
69,Very Low Crime
70,Very Low Crime
71,Medium Crime
72,Very Low Crime
73,Very Low Crime
74,Medium Crime
75,Medium Crime
76,Medium Crime
77,Very High Crime
78,Very High Crime
79,Very High Crime
80,High Crime
81,High Crime
82,Very High Crime
83,Very Low Crime
84,Very Low Crime
85,Very Low Crime
86,Low Crime
87,Low Crime
88,High Crime
89,Medium Crime
90,Very High Crime
91,Very Low Crime
92,Very Low Crime
93,Medium Crime
94,Very High Crime
95,High Crime
96,Very High Crime
97,Very Low Crime
98,Low Crime
99,Low Crime
100,High Crime
101,Very Low Crime
102,High Crime
103,High Crime
104,Low Crime
105,Very High Crime
106,High Crime
107,Low Crime
108,High Crime
109,Very High Crime
110,Very High Crime
111,Very Low Crime
112,Very Low Crime
113,Medium Crime
114,Very High Crime
115,Very Low Crime
116,Very High Crime
117,Very Low Crime
118,Very Low Crime
119,Very High Crime
120,High Crime
121,Very Low Crime
122,Very Low Crime
123,Low Crime
124,Medium Crime
125,Medium Crime
126,Medium Crime
127,Medium Crime
128,Very High Crime
129,Very Low Crime
130,High Crime
131,Medium Crime
132,Medium Crime
133,High Crime
134,Low Crime
135,Very Low Crime
136,Low Crime
137,Medium Crime
138,High Crime
139,Very Low Crime
140,Low Crime
141,Low Crime
142,High Crime
143,Very Low Crime
144,Medium Crime
145,Very High Crime
146,Very High Crime
147,Very Low Crime
148,Very High Crime
149,Very High Crime
150,Medium Crime
151,Very High Crime
